번호,상품사진_파일명,추가수집_파일명,중복유형,정렬후_픽셀상관계수,일치특징점,추가사진_겹침비율,상품사진_전체경로,추가수집_전체경로,추가수집_원본경로,추가수집_원본분할
1,000896.jpg,003360.jpg,동일 촬영 사진의 변형본,0.997437,164,0.793496,C:\ITDA_OCR_CODE\상품사진입니다\000896.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003360.jpg,Products-Real/train/images/img_00028.jpg,real_train
2,000982.jpg,003376.jpg,동일 촬영 사진의 변형본,0.971087,400,0.867593,C:\ITDA_OCR_CODE\상품사진입니다\000982.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003376.jpg,Products-Real/train/images/img_00093.jpg,real_train
3,001129.jpg,003395.jpg,동일 촬영 사진의 변형본,0.986645,504,0.845412,C:\ITDA_OCR_CODE\상품사진입니다\001129.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003395.jpg,Products-Real/train/images/img_00192.jpg,real_train
4,001330.jpg,003430.jpg,동일 촬영 사진의 변형본,0.997999,489,0.868262,C:\ITDA_OCR_CODE\상품사진입니다\001330.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003430.jpg,Products-Real/train/images/img_00337.jpg,real_train
5,001431.jpg,003441.jpg,동일 촬영 사진의 변형본,0.989354,80,0.746093,C:\ITDA_OCR_CODE\상품사진입니다\001431.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003441.jpg,Products-Real/train/images/img_00406.jpg,real_train
6,001782.jpg,003491.jpg,동일 촬영 사진의 변형본,0.99702,149,0.934266,C:\ITDA_OCR_CODE\상품사진입니다\001782.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003491.jpg,Products-Real/train/images/img_00648.jpg,real_train
7,001906.jpg,003516.jpg,동일 촬영 사진의 변형본,0.999112,396,0.905252,C:\ITDA_OCR_CODE\상품사진입니다\001906.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003516.jpg,Products-Real/train/images/img_00739.jpg,real_train
8,002020.jpg,003535.jpg,동일 촬영 사진의 변형본,0.999176,569,0.90504,C:\ITDA_OCR_CODE\상품사진입니다\002020.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003535.jpg,Products-Real/train/images/img_00821.jpg,real_train
9,002610.jpg,003609.jpg,동일 촬영 사진의 변형본,0.995405,565,0.920075,C:\ITDA_OCR_CODE\상품사진입니다\002610.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003609.jpg,Products-Real/evaluation/images/test_00115.jpg,real_evaluation
10,003014.jpg,003675.jpg,동일 촬영 사진의 변형본,0.992334,560,0.94823,C:\ITDA_OCR_CODE\상품사진입니다\003014.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003675.jpg,Products-Real/evaluation/images/test_00411.jpg,real_evaluation
