image_id,추출한 날짜,정답 날짜,True/False,라벨 상태,난이도,오류 유형,비고
003353,,2021-05-26,,approved,unassessed,full_date;multiple_date_lines,최종 날짜만 승인; OCR 주석 별도 검수
003354,,2021-03-23,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003355,,2021-11-29,,approved,unassessed,full_date;latin_text,최종 날짜만 승인; OCR 주석 별도 검수
003356,,2021-09-19,,approved,unassessed,full_date;multiple_date_lines,최종 날짜만 승인; OCR 주석 별도 검수
003357,,2022-06-20,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003358,,2021-12-01,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003359,,2021-12-08,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003360,,2021-12-18,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003361,,2021-10-30,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003362,,2022-07-17,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003363,,2021-10-28,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003364,,2021-09-14,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003365,,2021-10-20,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003366,,2024-03-10,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003367,,2021-12-11,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003368,,NONE-02-14,,approved,unassessed,partial_date,최종 날짜만 승인; OCR 주석 별도 검수
003369,,2022-01-26,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003370,,NONE-02-09,,approved,unassessed,partial_date,최종 날짜만 승인; OCR 주석 별도 검수
003371,,2022-01-18,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003372,,2022-05-05,,approved,unassessed,full_date;multiple_date_lines,최종 날짜만 승인; OCR 주석 별도 검수
003373,,2022-05-20,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003374,,2021-10-14,,approved,unassessed,full_date;multiple_date_lines,최종 날짜만 승인; OCR 주석 별도 검수
003375,,2022-09-13,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003376,,2023-12-27,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003377,,2021-09-02,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003378,,2021-11-08,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
003379,,2020-12-16,,approved,unassessed,full_date,최종 날짜만 승인; OCR 주석 별도 검수
