image_id,추출한 날짜,정답 날짜,True/False,라벨 상태,난이도,오류 유형,비고
000001,,2027-06-26,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000002,,2025-12-11,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000003,,2026-05-12,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000004,,2027-02-14,,approved,hard,반사·흐림·저대비;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000005,,2026-07-02,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000006,,2026-02-17,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000007,,2026-06-25,,approved,medium,제조일자·소비기한 동시;두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000008,,2027-06-29,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000009,,2026-10-29,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000010,,2026-06-08,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000011,,2026-02-05,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000012,,2026-03-23,,approved,medium,다양한 구분자;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000013,,2026-03-20,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000014,,2026-01-31,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000015,,2026-03-01,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000016,,2026-01-22,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000017,,2026-11-25,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000018,,2026-04-24,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000019,,2026-04-09,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000020,,2025-10-09,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000021,,2025-10-10,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000022,,2025-10-14,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000023,,2025-10-10,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000024,,2025-10-11,,approved,hard,두 자리 연도;반사·흐림·저대비;회전·기울어짐;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000025,,2026-06-11,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000026,,2025-11-13,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000027,,2026-04-27,,approved,medium,제조일자·소비기한 동시;다양한 구분자;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000028,,2026-02-10,,approved,hard,날짜 없음;비소비기한 날짜 오인 위험;전화번호·바코드 오인 위험;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000029,,2026-08-02,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000030,,2028-08-17,,approved,medium,두 자리 연도;다양한 구분자;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000031,,2026-02-14,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000032,,2026-03-22,,approved,hard,반사·흐림·저대비;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000033,,2026-06-17,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000034,,2026-06-30,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000035,,2026-08-17,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000036,,2026-08-26,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000037,,2026-07-17,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000038,,2027-02-12,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000039,,2026-05-26,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000040,,2025-10-11,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000041,,2025-10-11,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000042,,2025-10-12,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000043,,NONE-10-14,,approved,hard,연도 없음;반사·흐림·저대비;partial_date,최종 날짜만 승인; OCR 주석 별도 검수
000044,,2026-02-07,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000045,,2027-04-21,,approved,medium,다양한 구분자;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000046,,2025-10-10,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000047,,2027-04-14,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000048,,2026-06-12,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000049,,2026-03-01,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000050,,2025-09-30,,approved,medium,전화번호·바코드 오인 위험;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000051,,2026-01-12,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000052,,2025-11-19,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000053,,2025-12-20,,approved,medium,다양한 구분자;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000054,,2025-10-08,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000055,,2026-08-04,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000056,,2026-07-11,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000057,,2026-06-24,,approved,medium,점자형·잉크젯형 인쇄;전화번호·바코드 오인 위험;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000058,,2027-03-27,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000059,,2027-06-22,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000060,,2026-04-30,,approved,medium,다양한 구분자;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000061,,2026-06-04,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000062,,2026-05-26,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000063,,2026-06-16,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000064,,2026-08-03,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000065,,2026-01-12,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000066,,2026-08-17,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000067,,2025-12-19,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000068,,2026-06-17,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000069,,2026-06-24,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000070,,2026-10-08,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000071,,2027-07-20,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
000072,,2026-04-25,,approved,medium,점자형·잉크젯형 인쇄;전화번호·바코드 오인 위험;full_date,최종 날짜만 승인; OCR 주석 별도 검수
