image_id,추출한 날짜,정답 날짜,True/False,라벨 상태,난이도,오류 유형,비고
AMLC000001,,2027-06-26,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000002,,2025-12-11,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000003,,2026-05-12,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000004,,2027-02-14,,approved,hard,반사·흐림·저대비;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000005,,2026-07-02,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000006,,2026-02-17,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000007,,2026-06-25,,approved,medium,제조일자·소비기한 동시;두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000008,,2027-06-29,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000009,,2026-10-29,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000010,,2026-06-08,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000011,,2026-02-05,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000012,,2026-03-23,,approved,medium,다양한 구분자;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000013,,2026-03-20,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000014,,2026-01-31,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000015,,2026-03-01,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000016,,2026-01-22,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000017,,2026-11-25,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000018,,2026-04-24,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000019,,2026-04-09,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000020,,2025-10-09,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000021,,2025-10-10,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000022,,2025-10-14,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000023,,2025-10-10,,approved,medium,두 자리 연도;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000024,,2025-10-11,,approved,hard,두 자리 연도;반사·흐림·저대비;회전·기울어짐;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000025,,2026-06-11,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000026,,2025-11-13,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000027,,2026-04-27,,approved,medium,제조일자·소비기한 동시;다양한 구분자;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000028,,2026-02-10,,approved,hard,날짜 없음;비소비기한 날짜 오인 위험;전화번호·바코드 오인 위험;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000029,,2026-08-02,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000030,,2028-08-17,,approved,medium,두 자리 연도;다양한 구분자;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000031,,2026-02-14,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000032,,2026-03-22,,approved,hard,반사·흐림·저대비;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000033,,2026-06-17,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000034,,2026-06-30,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000035,,2026-08-17,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000036,,2026-08-26,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000037,,2026-07-17,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000038,,2027-02-12,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000039,,2026-05-26,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000040,,2025-10-11,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000041,,2025-10-11,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000042,,2025-10-12,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000043,,NONE-10-14,,approved,hard,연도 없음;반사·흐림·저대비;partial_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000044,,2026-02-07,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000045,,2027-04-21,,approved,medium,다양한 구분자;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000046,,2025-10-10,,approved,easy,정상;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000047,,2027-04-14,,approved,medium,점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000048,,2026-06-12,,approved,medium,두 자리 연도;점자형·잉크젯형 인쇄;full_date,최종 날짜만 승인; OCR 주석 별도 검수
AMLC000049,,2026-03-01,,approved,medium,제조일자·소비기한 동시;full_date,최종 날짜만 승인; OCR 주석 별도 검수
