image_id,image_path
AMLC000118,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000118.jpg
AMLC000263,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000263.jpg
AMLC000355,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000355.jpg
AMLC000357,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000357.jpg
AMLC000365,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000365.jpg
AMLC000375,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000375.jpg
AMLC000379,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000379.jpg
AMLC000380,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000380.jpg
AMLC000382,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000382.jpg
AMLC000383,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000383.jpg
AMLC000391,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000391.jpg
AMLC000395,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000395.jpg
AMLC000399,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000399.jpg
AMLC000402,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000402.jpg
AMLC000415,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000415.jpg
AMLC000417,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000417.jpg
AMLC000421,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000421.jpg
AMLC000424,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000424.jpg
AMLC000428,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000428.jpg
AMLC000431,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000431.jpg
AMLC000437,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000437.jpg
AMLC000448,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000448.jpg
AMLC000454,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000454.jpg
AMLC000457,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000457.jpg
AMLC000458,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000458.jpg
AMLC000461,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000461.jpg
AMLC000466,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000466.jpg
AMLC000470,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000470.jpg
AMLC000473,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000473.jpg
AMLC000478,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000478.jpg
AMLC000482,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000482.jpg
AMLC000491,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000491.jpg
AMLC000492,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000492.jpg
AMLC000503,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000503.jpg
AMLC000506,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000506.jpg
AMLC000508,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000508.jpg
AMLC000518,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000518.jpg
AMLC000519,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000519.jpg
AMLC000521,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000521.jpg
AMLC000522,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000522.jpg
AMLC000523,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000523.jpg
AMLC000531,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000531.jpg
AMLC000533,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000533.jpg
AMLC000538,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000538.jpg
AMLC000539,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000539.jpg
AMLC000542,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000542.jpg
AMLC000544,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000544.jpg
AMLC000546,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000546.jpg
AMLC000555,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000555.jpg
AMLC000562,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000562.jpg
AMLC000567,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000567.jpg
AMLC000568,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000568.jpg
AMLC000569,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000569.jpg
AMLC000571,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000571.jpg
AMLC000585,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000585.jpg
AMLC000586,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000586.jpg
AMLC000594,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000594.jpg
AMLC000599,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000599.jpg
AMLC000605,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000605.jpg
AMLC000607,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000607.jpg
AMLC000611,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000611.jpg
AMLC000614,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000614.jpg
AMLC000629,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000629.jpg
AMLC000633,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000633.jpg
