image_id,image_path,fold,group_id,image_sha256
AMLC000001,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000001.jpg,1,sha256:f8fc01516ca7ff1149e19396c9d963ebc0e60d862e3a84a1c0575490ca61781f,f8fc01516ca7ff1149e19396c9d963ebc0e60d862e3a84a1c0575490ca61781f
AMLC000002,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000002.jpg,1,sha256:41bdb464b1e6bd8dba9e3a8d2b184cd80b610b0b336f55104962b6ae645c8530,41bdb464b1e6bd8dba9e3a8d2b184cd80b610b0b336f55104962b6ae645c8530
AMLC000003,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000003.jpg,3,sha256:c87f438db528f6d2cd975e876603026125fc8c0d76e8d9ef0f4b3deada360e86,c87f438db528f6d2cd975e876603026125fc8c0d76e8d9ef0f4b3deada360e86
AMLC000004,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000004.jpg,1,sha256:f8db8c547557884f3dd8d56659e2a52059c1d9ccf4467346ae9d56ff698a5830,f8db8c547557884f3dd8d56659e2a52059c1d9ccf4467346ae9d56ff698a5830
AMLC000005,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000005.jpg,3,sha256:3815334f86eaebbb857606681a42daa9e4d63b2c715a05a28f42890532ac1fe6,3815334f86eaebbb857606681a42daa9e4d63b2c715a05a28f42890532ac1fe6
AMLC000006,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000006.jpg,4,sha256:1931f2f896c0696bac8833ffed3db4558739898ee8fd9b0585aa4e8777d41b18,1931f2f896c0696bac8833ffed3db4558739898ee8fd9b0585aa4e8777d41b18
AMLC000007,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000007.jpg,3,sha256:b978186382a872224bddfd3557b75b06af29ab9fc57ad4563f7383690db7eaff,b978186382a872224bddfd3557b75b06af29ab9fc57ad4563f7383690db7eaff
AMLC000008,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000008.jpg,4,sha256:6d52a8378a12109549213266761ea404d46479f34df4885a2f4416dafcbe7eda,6d52a8378a12109549213266761ea404d46479f34df4885a2f4416dafcbe7eda
AMLC000009,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000009.jpg,4,sha256:b275e494b763270f50cf423fd7814dd81acbc7cb124f1f5cd7b1f49aaf1e1218,b275e494b763270f50cf423fd7814dd81acbc7cb124f1f5cd7b1f49aaf1e1218
AMLC000010,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000010.jpg,4,sha256:bca7c05012de86d6ce6724247e8a855d3db3f9c85d65dcfdb38fd4df4477fcba,bca7c05012de86d6ce6724247e8a855d3db3f9c85d65dcfdb38fd4df4477fcba
AMLC000011,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000011.jpg,3,sha256:8b337c1b31fbdeb8a40c1045bdaad742e38bdbe69c28a7adff51a5d26b084056,8b337c1b31fbdeb8a40c1045bdaad742e38bdbe69c28a7adff51a5d26b084056
AMLC000012,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000012.jpg,4,sha256:f897ba2096e7ac4877bb24bbf1fbbcf54040693431de5e5672a29a52703589b8,f897ba2096e7ac4877bb24bbf1fbbcf54040693431de5e5672a29a52703589b8
AMLC000013,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000013.jpg,2,sha256:aa926f815837907223763a333363aed884f018e61fa837afb9871631be2aa20b,aa926f815837907223763a333363aed884f018e61fa837afb9871631be2aa20b
AMLC000014,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000014.jpg,1,sha256:c447954965c1dee95ad47bff56fe1f697560a2af309882a0bc08e484f2e009c9,c447954965c1dee95ad47bff56fe1f697560a2af309882a0bc08e484f2e009c9
AMLC000015,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000015.jpg,2,sha256:2d2211f7f41101926ecc9e4a7250d5b9c438721d1581214e3c65105b93f42425,2d2211f7f41101926ecc9e4a7250d5b9c438721d1581214e3c65105b93f42425
AMLC000016,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000016.jpg,1,sha256:bf0a8413b78295b59fc2b7d60b5de7effef904c9d240767c6cd1da0543434252,bf0a8413b78295b59fc2b7d60b5de7effef904c9d240767c6cd1da0543434252
